0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pred_class
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
1.6300325,0.051523842,-1.4810774,-3.640646,0.6885965,1.2024609,-0.8351186,1.7955872,0.70781004,-1.5975286,-0.56285584,1.2326609,-1.9889979,-1.1505463,-1.3363674,1.5742345,126
0.9343216,0.4761038,-2.3083,-2.9582772,0.81236815,0.5599826,-0.94194674,3.5175493,-0.3098749,-1.3883907,-0.91160786,0.4799385,-1.230404,-1.1754382,-1.7548342,3.474212,126
1.1140531,0.36312476,-2.450383,-3.1475878,0.66206014,0.8609236,-0.6994166,3.6767015,-0.30824125,-1.5572314,-0.98482966,0.43705916,-1.3324579,-1.1371226,-1.866595,3.370778,126
0.9348026,0.47435236,-2.30953,-2.9588032,0.8129568,0.55821854,-0.9420488,3.517461,-0.30970287,-1.3895512,-0.91238314,0.48132354,-1.231892,-1.1748819,-1.7539923,3.4740484,126
0.9398059,0.4600241,-2.318928,-2.9627457,0.8159081,0.55572677,-0.9392107,3.5193846,-0.31023192,-1.4000351,-0.916526,0.484497,-1.2454034,-1.1665807,-1.75495,3.4737697,126
0.9286671,0.47752112,-2.3058434,-2.954585,0.8145493,0.5562418,-0.946859,3.5195525,-0.31092304,-1.3863182,-0.91251236,0.48047256,-1.2297356,-1.1780739,-1.7531612,3.4811738,126
0.9435733,0.46026155,-2.319357,-2.9651332,0.8135934,0.5609758,-0.93516856,3.5176694,-0.3095557,-1.400769,-0.91508025,0.48273838,-1.2448031,-1.164784,-1.7572908,3.4680715,126
0.9986736,0.48885736,-2.3179455,-3.0017471,0.76251745,0.6666113,-0.8674146,3.516546,-0.30291748,-1.3992686,-0.89332473,0.43744302,-1.2158439,-1.1549523,-1.8009856,3.3984454,126
0.95645636,0.44789276,-2.3313975,-2.9743304,0.814872,0.5544441,-0.92993087,3.517064,-0.30718052,-1.4104196,-0.9189891,0.49060047,-1.2567253,-1.1587424,-1.7540526,3.4610698,126
0.94383746,0.47135457,-2.312929,-2.9647179,0.80852187,0.5718095,-0.93223715,3.516012,-0.30919886,-1.3942425,-0.9100699,0.47584295,-1.2347233,-1.1682103,-1.7615297,3.4637952,126
0.9549599,0.4645975,-2.3191748,-2.9730167,0.8045267,0.580829,-0.9215384,3.512998,-0.30744082,-1.401237,-0.9094906,0.47506732,-1.2394235,-1.1608672,-1.765871,3.4498565,126
0.94556564,0.4725185,-2.3119345,-2.9656262,0.807124,0.57473636,-0.9308163,3.515267,-0.30889708,-1.3937316,-0.9091642,0.47496623,-1.234081,-1.1680055,-1.7624428,3.4612172,126
0.922437,0.4806454,-2.3029914,-2.95084,0.81680846,0.5511236,-0.9527345,3.5220745,-0.3117295,-1.3832526,-0.9134717,0.48162508,-1.2277087,-1.1825719,-1.7504365,3.4894724,126
1.2243819,0.547117,-2.0547414,-2.9543476,0.6091622,0.8611563,-0.88792855,3.667897,-0.24877329,-1.3404715,-0.9824789,0.5717494,-1.387324,-1.3312645,-1.744055,3.4609342,126
0.9601236,0.4591677,-2.3264935,-2.9777732,0.8064233,0.573721,-0.9208836,3.5143428,-0.30612767,-1.406446,-0.9123632,0.48058945,-1.245224,-1.1600666,-1.7626228,3.450349,126
0.9432971,0.4561693,-2.322767,-2.9653025,0.8159796,0.55618894,-0.9367302,3.519844,-0.31003076,-1.4034337,-0.9172764,0.48495662,-1.2488822,-1.1639283,-1.7557995,3.4721203,126
0.9420118,0.47311693,-2.3116302,-2.9633856,0.80893993,0.57050264,-0.93392676,3.5164273,-0.30939966,-1.3926724,-0.90997356,0.4758665,-1.2332706,-1.1698115,-1.7607651,3.4658883,126
