0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pred_class
0.96757025,-3.1376975,0.9460897,-0.22190642,-0.3902725,-2.8466215,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915735,0.63696545,2.0102394,-0.043903306,80
0.96757036,-3.1376975,0.9460897,-0.22190642,-0.3902725,-2.8466215,1.5047079,0.91686714,-1.4810262,-0.09245214,2.8701015,-2.4437733,1.3915735,0.63696533,2.0102394,-0.043903455,80
0.96757025,-3.1376972,0.94608957,-0.22190645,-0.39027244,-2.8466215,1.5047079,0.916867,-1.4810262,-0.09245224,2.8701012,-2.443773,1.3915735,0.63696533,2.0102394,-0.043903187,80
0.96757025,-3.1376975,0.94608945,-0.22190636,-0.39027256,-2.8466213,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915737,0.6369652,2.0102394,-0.043903396,80
0.96757025,-3.1376972,0.94608945,-0.22190651,-0.39027244,-2.8466215,1.5047077,0.916867,-1.4810259,-0.092452124,2.8701012,-2.4437733,1.3915734,0.63696545,2.0102394,-0.043903425,80
0.96757025,-3.1376972,0.94608945,-0.22190654,-0.39027238,-2.8466215,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915734,0.6369656,2.0102394,-0.043903485,80
0.96757025,-3.1376972,0.94608945,-0.22190648,-0.3902725,-2.8466213,1.5047079,0.9168668,-1.4810259,-0.0924522,2.8701012,-2.443773,1.3915735,0.63696545,2.0102394,-0.043903366,80
0.96757025,-3.1376972,0.94608945,-0.22190648,-0.39027244,-2.8466215,1.5047079,0.9168668,-1.4810259,-0.09245211,2.870101,-2.443773,1.3915735,0.63696545,2.0102396,-0.043903366,80
0.96757025,-3.137697,0.94608945,-0.22190654,-0.39027244,-2.8466215,1.5047078,0.9168669,-1.4810259,-0.09245223,2.870101,-2.443773,1.3915734,0.63696545,2.0102391,-0.043903485,80
0.9675701,-3.137697,0.94608945,-0.22190648,-0.39027244,-2.8466215,1.5047079,0.9168668,-1.4810258,-0.09245211,2.870101,-2.4437728,1.3915735,0.63696545,2.0102396,-0.043903247,80
0.7657321,-2.8380508,0.4168584,0.44379067,0.33764222,-2.5319703,0.5889806,2.4985397,-2.465321,-0.51833767,2.8641796,-3.3258479,1.3571273,-0.6635155,0.31045988,-0.74692565,80
0.74749124,-2.8438668,0.4014192,0.44929838,0.3630997,-2.5116117,0.5784237,2.5219622,-2.4700506,-0.5469776,2.8582127,-3.3377554,1.3419703,-0.67255825,0.30345973,-0.73644394,80
0.7522189,-2.8463335,0.39951316,0.45120615,0.36595643,-2.5046744,0.5777925,2.5271196,-2.4742756,-0.55431044,2.8601952,-3.3402052,1.3408389,-0.6689557,0.29963106,-0.74003464,80
0.7464275,-2.8416998,0.4032195,0.44775468,0.3598938,-2.5175884,0.5794752,2.51699,-2.4673624,-0.540992,2.8574553,-3.3351364,1.3427567,-0.67320144,0.30587205,-0.7351724,80
0.611885,-2.1437776,0.25001332,0.32026386,0.04900232,-1.7357507,0.66340107,1.711375,-2.0992424,-0.19408451,2.095407,-2.2970781,1.140359,-0.5673021,0.63033724,-0.5246929,80
0.7538333,-2.843111,0.40411976,0.44870758,0.35884005,-2.5128388,0.5805605,2.5188951,-2.4710517,-0.54399407,2.8600185,-3.3355246,1.345615,-0.6685526,0.30324432,-0.7408233,80
0.76054317,-2.8418689,0.40720722,0.44800997,0.35463083,-2.512733,0.5823556,2.516457,-2.4719222,-0.54118824,2.8616383,-3.333888,1.349596,-0.6651565,0.3021012,-0.7455929,80
0.7967733,-2.5751035,0.6164477,0.22627139,0.064656064,-2.591045,0.6589808,2.2072284,-2.1644151,-0.25284225,2.7856503,-3.3440182,1.166528,-0.52965426,0.28326383,-0.7739096,80
0.7627161,-2.8297381,0.41371536,0.439314,0.34248182,-2.5380793,0.5899558,2.490147,-2.4610384,-0.5187013,2.8615823,-3.3123024,1.3513814,-0.655329,0.31416643,-0.7409641,80
0.75159055,-2.8472583,0.39833215,0.45187056,0.36771274,-2.502717,0.5770089,2.5292463,-2.4749932,-0.55683875,2.860191,-3.3416328,1.3394622,-0.66932523,0.29876208,-0.7397194,80
0.75602484,-2.090752,0.36627012,0.30900723,0.55882585,-1.9502327,0.21100707,2.73016,-2.565269,-0.40923035,2.3933804,-3.0657058,1.1764339,-0.9439319,-0.33785644,-1.160075,80
0.6656393,-2.2079642,0.31011522,0.37662387,0.63685143,-1.9632863,0.2235285,2.8418176,-2.6501765,-0.5004076,2.4369192,-3.146224,1.1598096,-0.97184783,-0.29291302,-1.0777621,80
0.63867867,-2.1060965,0.30518997,0.3683368,0.6497799,-1.9149508,0.19832519,2.7973733,-2.5903633,-0.4225458,2.3847597,-3.1192288,1.17102,-1.0268129,-0.37990963,-1.0699973,80
0.6847955,-2.1732795,0.29736823,0.3660739,0.63955003,-1.9412092,0.22634721,2.7994998,-2.6374204,-0.49211168,2.3983624,-3.0902567,1.1582226,-0.93458074,-0.31098408,-1.0853426,80
0.97733337,-2.3108451,0.448794,0.477691,0.30897832,-2.2385898,0.39844358,2.8261428,-2.9183753,-0.07922666,2.607987,-3.1696455,1.2362865,-0.9781545,-0.24586695,-1.2897704,80
0.4543736,-2.0821955,0.15805645,0.40277642,0.85338396,-1.699045,0.2464293,2.710707,-2.5536366,-0.68949896,2.1202292,-2.9218435,1.0261909,-0.75336576,-0.33684456,-0.8045142,80
0.6655294,-2.0582154,0.28825706,0.3605758,0.6545728,-1.8925613,0.19872963,2.7848253,-2.5958867,-0.39199525,2.3891797,-3.088802,1.1925328,-1.029607,-0.41250864,-1.099262,80
0.60204107,-2.2916572,0.34461415,0.41098475,0.5180884,-2.1806471,0.30839312,2.937797,-2.7525053,-0.4775231,2.532254,-3.3405125,1.0383155,-0.808085,-0.3306293,-0.92500585,80
0.5538444,-2.148174,0.19236058,0.45053577,0.7495997,-1.7795225,0.2335811,2.7717178,-2.6838078,-0.54738194,2.2041242,-2.939627,1.0969728,-0.8438493,-0.35090923,-0.90560555,80
0.6683304,-2.1333976,0.34173998,0.3653528,0.60334724,-1.9243733,0.20384918,2.7871802,-2.5798457,-0.4209711,2.3968065,-3.13713,1.1702856,-1.0179797,-0.35501945,-1.0881598,80
0.64404464,-1.7477056,0.26586148,0.07414585,0.8907325,-1.5585799,0.04571679,2.8743737,-2.6897292,-0.111549646,2.1669755,-2.6279113,1.0156678,-0.9066364,-0.6307269,-1.5133715,80
0.22336301,-1.932604,0.17930047,0.32861227,1.1551712,-1.7490591,-0.029744852,3.2227464,-2.9436364,-0.23488598,2.1412938,-2.7468653,0.8995783,-0.89935905,-0.7174712,-1.1003783,80
0.4878152,-1.7984835,0.2335495,0.19182235,0.98065275,-1.6023086,0.008292504,3.0047247,-2.7768998,0.03387476,2.191723,-2.7006202,0.9671923,-1.0497797,-0.7383648,-1.373702,80
0.54748774,-1.8299973,0.19496192,0.13130718,0.9847622,-1.5283757,0.025758674,2.961907,-2.7442334,-0.16852143,2.1851783,-2.6567557,1.0012261,-0.9258465,-0.65175956,-1.4351416,80
0.390275,-1.2524717,0.08625447,-0.0060351193,0.72105706,-1.2901108,0.12803838,2.3191245,-2.637708,0.17380378,1.6661867,-1.5488334,0.8469389,-0.68802124,-0.15799657,-1.3282299,80
0.13183427,-1.7691187,0.079273686,0.33568966,1.2252274,-1.5897408,0.059047855,3.0009606,-2.6439855,-0.69551873,1.9182992,-2.783624,0.7684795,-0.78015316,-0.64034,-0.7390444,80
0.2888806,-1.8453194,0.12932187,0.3417629,0.9803442,-1.6585809,0.09119028,3.0313005,-2.9234388,-0.16812602,2.1043167,-2.6050246,1.0515157,-0.92164624,-0.54106086,-1.1038668,80
0.35297626,-1.9212605,0.34071738,0.20617002,0.7316151,-1.9456805,0.10100211,3.0801787,-2.5503724,-0.43032575,2.4899797,-3.123399,0.9058058,-0.8621543,-0.48767796,-0.998021,80
0.2407442,-1.8316922,0.1260772,0.3608567,1.1198581,-1.7261772,0.0487203,3.110601,-2.8427165,-0.52291894,2.0453634,-2.7623944,0.881709,-0.8878548,-0.6062391,-0.8634458,80
0.2567846,-1.8406726,0.2223327,0.2353977,1.1196316,-1.711012,-0.073743865,3.1510568,-2.9079282,-0.067401096,2.076958,-2.5991464,0.88441473,-0.92275417,-0.73660785,-1.1715055,80
0.600841,-1.6376582,0.3296068,-0.13954818,1.4174626,-1.0511879,-0.070710614,3.1625981,-2.6095934,0.45541668,2.283761,-1.9972305,0.81456655,-1.0839422,-0.9115294,-1.6580131,43
0.39440912,-1.4918711,0.35120592,-0.0017720759,1.6087773,-1.3845372,-0.10169402,3.3344355,-2.4100428,0.30802464,2.4210324,-2.2863297,0.8737344,-1.2291081,-1.0021031,-1.0292196,80
0.46827674,-1.7202849,0.33809882,-0.092310816,1.3966538,-1.0097243,-0.05177537,3.2027876,-2.6891978,0.7012134,2.2978613,-1.8418981,0.7098054,-1.1867723,-0.80923915,-1.6038945,43
