0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pred_class
0.96757025,-3.1376975,0.9460897,-0.22190642,-0.3902725,-2.8466215,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915735,0.63696545,2.0102394,-0.043903306,80
0.96757036,-3.1376975,0.9460897,-0.22190642,-0.3902725,-2.8466215,1.5047079,0.91686714,-1.4810262,-0.09245214,2.8701015,-2.4437733,1.3915735,0.63696533,2.0102394,-0.043903455,80
0.96757025,-3.1376972,0.94608957,-0.22190645,-0.39027244,-2.8466215,1.5047079,0.916867,-1.4810262,-0.09245224,2.8701012,-2.443773,1.3915735,0.63696533,2.0102394,-0.043903187,80
0.96757025,-3.1376975,0.94608945,-0.22190636,-0.39027256,-2.8466213,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915737,0.6369652,2.0102394,-0.043903396,80
0.96757025,-3.1376972,0.94608945,-0.22190651,-0.39027244,-2.8466215,1.5047077,0.916867,-1.4810259,-0.092452124,2.8701012,-2.4437733,1.3915734,0.63696545,2.0102394,-0.043903425,80
0.96757025,-3.1376972,0.94608945,-0.22190654,-0.39027238,-2.8466215,1.5047079,0.916867,-1.481026,-0.09245223,2.8701012,-2.4437733,1.3915734,0.6369656,2.0102394,-0.043903485,80
0.96757025,-3.1376972,0.94608945,-0.22190648,-0.3902725,-2.8466213,1.5047079,0.9168668,-1.4810259,-0.0924522,2.8701012,-2.443773,1.3915735,0.63696545,2.0102394,-0.043903366,80
0.96757025,-3.1376972,0.94608945,-0.22190648,-0.39027244,-2.8466215,1.5047079,0.9168668,-1.4810259,-0.09245211,2.870101,-2.443773,1.3915735,0.63696545,2.0102396,-0.043903366,80
0.96757025,-3.137697,0.94608945,-0.22190654,-0.39027244,-2.8466215,1.5047078,0.9168669,-1.4810259,-0.09245223,2.870101,-2.443773,1.3915734,0.63696545,2.0102391,-0.043903485,80
0.9675701,-3.137697,0.94608945,-0.22190648,-0.39027244,-2.8466215,1.5047079,0.9168668,-1.4810258,-0.09245211,2.870101,-2.4437728,1.3915735,0.63696545,2.0102396,-0.043903247,80
0.7647697,-2.8386726,0.4171056,0.44402516,0.33711112,-2.5326452,0.5890548,2.498592,-2.4650083,-0.5172926,2.8642578,-3.3266778,1.3573123,-0.6649764,0.3110577,-0.7461466,80
0.75835073,-2.8449693,0.40267465,0.45047504,0.36168304,-2.5049238,0.5795787,2.5245745,-2.4749608,-0.5510514,2.8615024,-3.3386383,1.3450071,-0.6661763,0.2987421,-0.74446005,80
0.7695823,-2.8454924,0.4051048,0.45159417,0.3583036,-2.5005026,0.5808037,2.5260773,-2.4787858,-0.55180144,2.8654091,-3.3406153,1.3479395,-0.6616993,0.29327872,-0.7519384,80
0.7536312,-2.846307,0.39995047,0.45127743,0.36568552,-2.5034068,0.57801545,2.5275233,-2.4748023,-0.5546214,2.8605697,-3.3403144,1.3416951,-0.6684399,0.29902533,-0.7410135,80
0.7408604,-2.8729188,0.36086994,0.4722029,0.4368322,-2.4012291,0.5416684,2.6071916,-2.4751053,-0.65090483,2.8759341,-3.400375,1.2515974,-0.68061143,0.24552387,-0.70972383,80
0.7590464,-2.8425388,0.40542853,0.44853145,0.35706365,-2.5116522,0.5815697,2.518126,-2.472431,-0.5439406,2.861381,-3.3344522,1.3475138,-0.6651136,0.30174944,-0.74445945,80
0.758149,-2.8446538,0.40330166,0.45016778,0.36079854,-2.506061,0.58006907,2.5234792,-2.47439,-0.54945236,2.8616207,-3.3379076,1.3458035,-0.66646224,0.29954702,-0.7440306,80
0.75415474,-2.8294451,0.40906784,0.43989748,0.34906802,-2.5377557,0.5870532,2.493247,-2.4597843,-0.52298343,2.8584213,-3.3136506,1.3450125,-0.6594093,0.31424272,-0.7344938,80
0.7645448,-2.8293598,0.41368026,0.4391942,0.34286165,-2.5366964,0.5899709,2.490477,-2.4617996,-0.52012485,2.8618684,-3.311672,1.3517427,-0.65343636,0.31318435,-0.74253803,80
0.7667337,-2.8453918,0.4050599,0.45110577,0.35789892,-2.5031903,0.5809566,2.524447,-2.4774513,-0.55001897,2.864484,-3.3395689,1.3479166,-0.66284853,0.29560652,-0.75017416,80
0.80164266,-2.2325184,0.34922463,0.34786558,0.5005447,-1.9583305,0.3571205,2.7035747,-2.6405005,-0.40968752,2.4550884,-3.1022005,1.2343746,-0.87608767,-0.16316038,-1.1902966,80
0.6689337,-2.1989994,0.3115316,0.36551863,0.6347417,-1.9531883,0.22113185,2.8320642,-2.63618,-0.50568444,2.4334838,-3.1423256,1.1623951,-0.96647227,-0.29357633,-1.0849388,80
0.6495707,-2.0889473,0.30900228,0.35151988,0.6413152,-1.9030267,0.19629039,2.7809207,-2.5735722,-0.4239511,2.3808205,-3.108148,1.1786778,-1.0193491,-0.3796914,-1.0868069,80
0.6770093,-2.171258,0.2985109,0.3579914,0.6478862,-1.930229,0.22199295,2.796121,-2.6190503,-0.505335,2.3938634,-3.0998611,1.1542025,-0.93114024,-0.31591755,-1.0837624,80
0.5258738,-2.2898507,0.26024675,0.40676624,0.78944445,-1.8682855,0.22391424,2.8598294,-2.580234,-0.6245925,2.367052,-3.2281635,1.0830492,-0.9090933,-0.34459597,-0.9484777,80
0.59569347,-2.0329723,0.07281037,0.41589385,0.80010533,-1.649893,0.22446385,2.706921,-2.6492722,-0.67759496,2.212112,-2.79486,1.0510169,-0.7240921,-0.3715504,-0.9064309,80
0.6562572,-2.0641267,0.28690186,0.36314058,0.66242975,-1.8914273,0.19713213,2.7892962,-2.5927155,-0.39857936,2.387653,-3.0984383,1.1879379,-1.0311133,-0.41530988,-1.0915726,80
0.6022652,-2.127149,0.16882917,0.48649144,0.6765579,-1.7726765,0.2565726,2.7588918,-2.7321115,-0.52267003,2.2616613,-2.895515,1.1260442,-0.84237313,-0.31110188,-0.92698866,80
0.7003368,-2.0803087,0.26696593,0.31637037,0.63005847,-1.8991654,0.21912785,2.723945,-2.6061585,-0.48867738,2.3799028,-2.9432313,1.1749587,-0.8804153,-0.2861517,-1.112667,80
0.614183,-2.104949,0.12136449,0.48807007,0.6829503,-1.673264,0.26339483,2.6966012,-2.6864114,-0.524615,2.2458358,-2.8444116,1.1450802,-0.8340127,-0.32819906,-0.9157475,80
0.6987516,-1.7539308,0.26289788,0.13467962,0.830346,-1.4329464,0.2545615,2.702541,-2.5433953,-0.08889733,2.1112971,-2.9045405,1.0976721,-0.9255818,-0.6159274,-1.5514102,80
0.23263311,-1.9335402,0.16008048,0.33441228,1.1522745,-1.7097691,-0.025374468,3.2085235,-2.935259,-0.25915962,2.142311,-2.7403,0.914628,-0.9007687,-0.71403444,-1.0993843,80
0.5053109,-1.7982979,0.23216085,0.18499488,0.96627593,-1.5860409,0.01583315,2.9966729,-2.7737675,0.015788529,2.197848,-2.7054136,0.990513,-1.0471218,-0.72773254,-1.3973355,80
0.54703766,-1.8439378,0.19484921,0.13641804,0.9932855,-1.5149133,0.027405549,2.9697342,-2.7359776,-0.18395834,2.1885223,-2.690364,1.0065626,-0.93169355,-0.6666577,-1.4353347,80
0.42256832,-1.951754,0.19312619,0.20053494,1.1623404,-1.4647961,0.014204547,3.1165445,-2.720624,-0.1864935,2.2105556,-2.9227529,0.9861695,-0.9967055,-0.8411659,-1.3286109,80
0.33009434,-1.7374653,0.09367019,0.30020583,1.1392622,-1.5463989,-0.011757214,3.0532444,-2.7177367,-0.6361099,2.0567825,-2.7350898,0.85076684,-0.7784149,-0.7487262,-0.9482168,80
0.2778116,-1.8483068,0.1221366,0.3506698,0.9934428,-1.6484305,0.09444784,3.032002,-2.9178274,-0.18538354,2.0958054,-2.6192446,1.047908,-0.91981435,-0.5483306,-1.08801,80
0.31323576,-1.7898804,0.16976464,0.36187822,0.959812,-1.8113215,0.051245518,3.103536,-2.8657277,-0.4533093,2.1548285,-2.7333484,0.993895,-0.9675801,-0.525503,-0.9059041,80
0.32426116,-1.8082362,0.10750659,0.21072358,1.0683086,-1.5874792,0.008312367,3.0183072,-2.86333,-0.29280835,2.0787208,-2.5046725,0.9887952,-0.79120016,-0.5973878,-1.2239547,80
0.348156,-1.70475,0.13323912,0.35176218,0.8992989,-1.6806939,0.04651166,2.9717011,-2.8150113,-0.36868,2.0923643,-2.5713022,1.0270727,-0.9414314,-0.5434517,-0.9439648,80
0.67778283,-1.825112,0.34233934,-0.04447055,1.3102589,-1.2831259,0.13974167,3.1148143,-2.6433835,0.3568561,2.2974012,-2.473063,0.9305127,-1.0503578,-0.8067128,-1.6393578,43
0.39998662,-1.5078999,0.34077418,0.0007299185,1.5927604,-1.3586186,-0.09007676,3.3134198,-2.4047742,0.27986574,2.4165196,-2.287037,0.88048106,-1.2090749,-0.9782983,-1.0349734,80
0.4796344,-1.730216,0.34253642,-0.09166029,1.3808421,-0.9994321,-0.04046384,3.1991794,-2.6915894,0.6823642,2.2978728,-1.8587219,0.7352664,-1.1845788,-0.7950554,-1.6178517,43
